schemaVersion,recordType,source_name,source_url,entityName,employeeCount,founded,location,totalFunding,category,collectedAt
1.0,STARTUP,HuggingFace,https://huggingface.co/Freepik,Freepik,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/giacomoarienti,giacomoarienti,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/umutbozdag,umutbozdag,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/buildborderless,buildborderless,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/haywoodsloan,haywoodsloan,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Marqo,Marqo,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ISxOdin,ISxOdin,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/smp-hub,smp-hub,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Organika,Organika,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/prithivMLmods,prithivMLmods,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/nateraw,nateraw,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/peft-internal-testing,peft-internal-testing,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/docling-project,docling-project,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/umm-maybe,umm-maybe,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/BVRA,BVRA,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/amaye15,amaye15,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/PaddlePaddle,PaddlePaddle,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/hustvl,hustvl,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/PekingU,PekingU,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/keremberke,keremberke,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/TahaDouaji,TahaDouaji,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Anzhc,Anzhc,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/morsetechlab,morsetechlab,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ustc-community,ustc-community,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Roboflow,Roboflow,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/AnnaZhang,AnnaZhang,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Aryn,Aryn,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/SenseTime,SenseTime,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/IDEA-Research,IDEA-Research,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/foduucom,foduucom,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Fuyucchi,Fuyucchi,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/datalab-to,datalab-to,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/moondream,moondream,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/disco-eth,disco-eth,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/iitolstykh,iitolstykh,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Ultralytics,Ultralytics,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/mudler,mudler,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/yuuko-eth,yuuko-eth,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/valentinafevu,valentinafevu,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/mosesb,mosesb,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/huyvux3005,huyvux3005,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/RoyRud1902,RoyRud1902,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/yainage90,yainage90,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Piero2411,Piero2411,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/jameslahm,jameslahm,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/schumannc,schumannc,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/euler1729,euler1729,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/amayuelas,amayuelas,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/tech4humans,tech4humans,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/NAKSTStudio,NAKSTStudio,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/mdefrance,mdefrance,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/MidnightRunner,MidnightRunner,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/rabahdev,rabahdev,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Yifeng-Liu,Yifeng-Liu,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Armaggheddon,Armaggheddon,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/VSp4de-123,VSp4de-123,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/bluecopa,bluecopa,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/is36e,is36e,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/HuggingPanda,HuggingPanda,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/arnabdhar,arnabdhar,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/luxdelux7,luxdelux7,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/joshvm,joshvm,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/justjuu,justjuu,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/litert-community,litert-community,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/RationAI,RationAI,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/SalahALHaismawi,SalahALHaismawi,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/armvectores,armvectores,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Subh775,Subh775,,,,,AI/ML Organization,2026-08-15T19:26:52.960338Z
1.0,STARTUP,HuggingFace,https://huggingface.co/google-t5,google-t5,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/human-centered-summarization,human-centered-summarization,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/philschmid,philschmid,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/moussaKam,moussaKam,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/uzlm,uzlm,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/knkarthick,knkarthick,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/d0rj,d0rj,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/cnicu,cnicu,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/optimum,optimum,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/cahya,cahya,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/csebuetnlp,csebuetnlp,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/RUCAIBox,RUCAIBox,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/echarlaix,echarlaix,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/VietAI,VietAI,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/deutsche-telekom,deutsche-telekom,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/IlyaGusev,IlyaGusev,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/allegro,allegro,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/RussianNLP,RussianNLP,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Sachin21112004,Sachin21112004,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/thanathorn,thanathorn,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/pszemraj,pszemraj,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/mattritchey,mattritchey,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/EbanLee,EbanLee,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/phh,phh,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/gsarti,gsarti,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/recogna-nlp,recogna-nlp,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/lyutovad,lyutovad,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/thelamapi,thelamapi,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/knowledgator,knowledgator,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Phil2Sat,Phil2Sat,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
1.0,STARTUP,HuggingFace,https://huggingface.co/hossboll,hossboll,,,,,AI/ML Organization,2026-08-15T19:26:53.712159Z
