recordType,rawName,canonicalName,matchType,matchScore
STARTUP,thu-ml,thu-ml,NO_MATCH,36.36363636363637
STARTUP,dblasko,dblasko,NO_MATCH,40.0
STARTUP,MixTex,MixTex,NO_MATCH,37.5
STARTUP,ddobokki,ddobokki,NO_MATCH,37.5
STARTUP,enzostvs,enzostvs,NO_MATCH,35.29411764705882
STARTUP,open-llm-leaderboard,open-llm-leaderboard,NO_MATCH,33.333333333333336
STARTUP,jbilcke-hf,jbilcke-hf,NO_MATCH,40.0
STARTUP,Kwai-Kolors,Kwai-Kolors,NO_MATCH,38.095238095238095
STARTUP,black-forest-labs,black-forest-labs,NO_MATCH,37.03703703703704
STARTUP,mteb,mteb,NO_MATCH,44.44444444444444
STARTUP,dalle-mini,dalle-mini,NO_MATCH,44.44444444444444
STARTUP,AP123,AP123,NO_MATCH,25.0
STARTUP,lmarena-ai,lmarena-ai,NO_MATCH,44.44444444444444
STARTUP,KingNish,KingNish,NO_MATCH,35.29411764705882
STARTUP,nanotron,nanotron,NO_MATCH,50.0
STARTUP,KlingTeam,KlingTeam,NO_MATCH,35.29411764705882
STARTUP,mrfakename,mrfakename,NO_MATCH,42.10526315789473
STARTUP,InstantX,InstantX,NO_MATCH,46.15384615384615
STARTUP,hexgrad,hexgrad,NO_MATCH,46.15384615384615
STARTUP,zerogpu-aoti,zerogpu-aoti,NO_MATCH,44.44444444444444
STARTUP,akhaliq,akhaliq,NO_MATCH,50.0
STARTUP,mukaist,mukaist,NO_MATCH,40.0
STARTUP,r3gm,r3gm,NO_MATCH,33.333333333333336
STARTUP,pharmapsychotic,pharmapsychotic,NO_MATCH,44.44444444444444
STARTUP,not-lain,not-lain,NO_MATCH,47.05882352941176
STARTUP,sanchit-gandhi,sanchit-gandhi,NO_MATCH,43.47826086956522
STARTUP,HumanAIGC,HumanAIGC,NO_MATCH,40.0
STARTUP,coqui,coqui,NO_MATCH,36.36363636363637
STARTUP,tonyassi,tonyassi,NO_MATCH,40.0
STARTUP,multimodalart,multimodalart,NO_MATCH,44.44444444444444
STARTUP,fffiloni,fffiloni,NO_MATCH,38.095238095238095
STARTUP,sczhou,sczhou,NO_MATCH,33.333333333333336
STARTUP,suno,suno,NO_MATCH,40.0
STARTUP,selfit-camera,selfit-camera,NO_MATCH,54.54545454545454
